leitura,segundo,minuto,intensidadeMinuto
0,1,1,False
0,1,1,False
0,1,1,False
0,2,1,False
0,2,1,False
0,2,1,False
0,3,1,False
0,3,1,False
0,3,1,False
0,4,1,False
1,4,1,False
0,4,1,False
1,5,1,False
0,5,1,False
0,5,1,False
0,6,1,False
0,6,1,False
0,6,1,False
0,7,1,False
0,7,1,False
0,7,1,False
1,8,1,False
0,8,1,False
0,8,1,False
0,9,1,False
1,9,1,False
1,9,1,False
1,10,1,False
1,10,1,False
0,10,1,False
1,11,1,False
1,11,1,False
0,11,1,False
1,12,1,False
0,12,1,False
1,12,1,False
1,13,1,False
1,13,1,False
1,13,1,False
0,14,1,False
0,14,1,False
0,14,1,False
0,15,1,False
0,15,1,False
1,15,1,False
0,16,1,False
0,16,1,False
0,16,1,False
1,17,1,False
1,17,1,False
0,17,1,False
0,18,1,False
1,18,1,False
0,18,1,False
0,19,1,False
1,19,1,False
1,19,1,False
1,20,1,False
0,20,1,False
1,20,1,False
1,21,1,False
0,21,1,False
1,21,1,False
0,22,1,False
0,22,1,False
0,22,1,False
1,23,1,False
1,23,1,False
1,23,1,False
0,24,1,False
0,24,1,False
0,24,1,False
0,25,1,False
1,25,1,False
0,25,1,False
1,26,1,False
0,26,1,False
0,26,1,False
0,27,1,False
0,27,1,False
1,27,1,False
1,28,1,False
1,28,1,False
1,28,1,False
1,29,1,False
0,29,1,False
1,29,1,False
0,30,1,False
1,30,1,False
1,30,1,False
0,31,1,False
1,31,1,False
0,31,1,False
1,32,1,False
0,32,1,False
0,32,1,False
0,33,1,False
1,33,1,False
0,33,1,False
1,34,1,False
1,34,1,False
1,34,1,False
1,35,1,False
0,35,1,False
0,35,1,False
1,36,1,False
0,36,1,False
0,36,1,False
0,37,1,False
1,37,1,False
1,37,1,False
1,38,1,False
1,38,1,False
1,38,1,False
0,39,1,False
1,39,1,False
1,39,1,False
0,40,1,False
1,40,1,False
1,40,1,False
1,41,1,False
1,41,1,False
0,41,1,False
1,42,1,False
1,42,1,False
0,42,1,False
1,43,1,False
1,43,1,False
1,43,1,False
1,44,1,False
0,44,1,False
0,44,1,False
1,45,1,False
1,45,1,False
1,45,1,False
1,46,1,False
0,46,1,False
1,46,1,False
1,47,1,False
1,47,1,False
0,47,1,False
1,48,1,False
0,48,1,False
0,48,1,False
1,49,1,False
0,49,1,False
1,49,1,False
1,50,1,False
1,50,1,False
1,50,1,False
1,51,1,False
1,51,1,False
0,51,1,False
0,52,1,False
1,52,1,False
1,52,1,False
1,53,1,False
1,53,1,False
1,53,1,False
1,54,1,False
1,54,1,False
1,54,1,False
1,55,1,False
1,55,1,False
1,55,1,False
1,56,1,False
1,56,1,False
0,56,1,False
1,57,1,False
1,57,1,False
1,57,1,False
1,58,1,False
1,58,1,False
1,58,1,False
0,59,1,False
1,59,1,False
1,59,1,False
1,60,1,False
1,60,1,False
0,60,1,False
1,61,2,True
1,61,2,True
0,61,2,True
0,62,2,True
1,62,2,True
1,62,2,True
1,63,2,True
1,63,2,True
0,63,2,True
0,64,2,True
1,64,2,True
1,64,2,True
1,65,2,True
1,65,2,True
0,65,2,True
0,66,2,True
1,66,2,True
0,66,2,True
1,67,2,True
1,67,2,True
1,67,2,True
1,68,2,True
1,68,2,True
0,68,2,True
1,69,2,True
1,69,2,True
1,69,2,True
1,70,2,True
0,70,2,True
1,70,2,True
1,71,2,True
1,71,2,True
1,71,2,True
1,72,2,True
1,72,2,True
1,72,2,True
0,73,2,True
0,73,2,True
0,73,2,True
1,74,2,True
1,74,2,True
1,74,2,True
0,75,2,True
1,75,2,True
0,75,2,True
0,76,2,True
0,76,2,True
0,76,2,True
1,77,2,True
1,77,2,True
1,77,2,True
1,78,2,True
0,78,2,True
1,78,2,True
1,79,2,True
1,79,2,True
1,79,2,True
1,80,2,True
1,80,2,True
1,80,2,True
1,81,2,True
1,81,2,True
1,81,2,True
1,82,2,True
0,82,2,True
0,82,2,True
0,83,2,True
0,83,2,True
0,83,2,True
0,84,2,True
1,84,2,True
0,84,2,True
1,85,2,True
0,85,2,True
1,85,2,True
0,86,2,True
1,86,2,True
0,86,2,True
1,87,2,True
1,87,2,True
0,87,2,True
0,88,2,True
0,88,2,True
1,88,2,True
1,89,2,True
1,89,2,True
1,89,2,True
0,90,2,True
0,90,2,True
0,90,2,True
0,91,2,True
1,91,2,True
1,91,2,True
1,92,2,True
0,92,2,True
1,92,2,True
1,93,2,True
1,93,2,True
1,93,2,True
0,94,2,True
1,94,2,True
1,94,2,True
0,95,2,True
1,95,2,True
1,95,2,True
0,96,2,True
0,96,2,True
1,96,2,True
0,97,2,True
0,97,2,True
1,97,2,True
1,98,2,True
1,98,2,True
1,98,2,True
1,99,2,True
0,99,2,True
1,99,2,True
1,100,2,True
1,100,2,True
0,100,2,True
1,101,2,True
1,101,2,True
1,101,2,True
1,102,2,True
1,102,2,True
0,102,2,True
0,103,2,True
0,103,2,True
1,103,2,True
1,104,2,True
0,104,2,True
